partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility,skills_list
O.P. Jindal Global University,"M.A. in International Relations, Security, and Strategy","{"" Culture"","" Leadership and Management"","" Problem Solving"","" Risk Management""}",,,,Degree ,  24 - 36 months,True,"['risk management', 'leadership', 'problem solving', 'culture', 'leadership and management']"
Louisiana State University,Flores Master of Business Administration,,,,,Degree , 1 - 4 Years,True,[]
Universidad de los Andes,Maestría en Gerencia de la Ingeniería,,,,,Degree , 18 a 24 meses,True,[]
University of Illinois,Graduate Certificate in Taxation,"{"" Accounting"","" Financial Accounting"","" Leadership and Management"","" Finance"","" Financial Analysis"","" General Accounting"","" Financial Management"","" Business Analysis"","" Generally Accepted Accounting Principles (GAAP)"","" Critical Thinking"","" Data Analysis"","" Decision Making"","" Strategy"","" Management Accounting"","" Cost Accounting"","" Marketing"","" Account Management"","" Market Analysis"","" Risk Management"","" Taxes"","" Strategy and Operations"","" Communication"","" Accounts Payable and Receivable"","" Investment Management"","" Mergers & Acquisitions"","" Media Strategy & Planning"","" Problem Solving"","" Audit"","" Probability & Statistics"","" Entrepreneurship"","" Regulations and Compliance"","" Planning"","" Exploratory Data Analysis"","" Market Research"","" Performance Management"","" Corporate Accouting"","" Marketing Management"","" Business Process Management"","" Statistical Analysis"","" Data Visualization"","" Cash Management"","" Leadership Development"","" Digital Marketing"","" Project Management"","" R Programming"","" Brand Management"","" General Statistics"","" Basic Descriptive Statistics"","" Correlation And Dependence"","" Organizational Development"","" Securities Trading"","" Social Media"","" Budget Management"","" Conflict Management"","" Data Management"","" Statistical Machine Learning"","" Advertising"","" Interactive Data Visualization"","" Behavioral Economics"","" Business Communication"","" Business Intelligence"","" Business Transformation"","" Culture"","" Influencing"","" Probability Distribution"","" Regression"","" Sales"","" Statistical Programming"","" Statistical Tests"","" Benefits"","" Change Management"","" Plot (Graphics)"","" Algorithms"","" Business Design"","" Customer Relationship Management"","" Extract"","" Transform"","" Load"","" Machine Learning"","" Machine Learning Algorithms"","" Negotiation"","" Business Psychology"","" Creativity"","" Data Analysis Software"","" Data Model"","" Data Visualization Software"","" Research and Design"","" Adaptability"","" Business Research"","" Game Theory"","" Visualization (Computer Graphics)"","" Visual Design"","" Entrepreneurial Finance"","" Forecasting"","" Human Resources"","" Supply Chain and Logistics"","" Econometrics"","" Computer Programming"","" Data Architecture"","" Microsoft Excel""}",,,,Graduate Certificate , 6 - 12 Months,True,"['social media', 'machine learning', 'data visualization', 'r programming', 'statistics', 'project management', 'risk management', 'change management', 'business analysis', 'business intelligence', 'strategy', 'marketing', 'finance', 'supply chain', 'leadership', 'negotiation', 'communication', 'problem solving', 'critical thinking', 'adaptability', 'creativity', 'algorithms', 'market research', 'digital marketing', 'brand management', 'decision making', 'forecasting', 'excel', 'financial management', 'corporate accouting', 'business research', 'data analysis software', 'machine learning algorithms', 'media strategy & planning', 'securities trading', 'exploratory data analysis', 'influencing', 'supply chain and logistics', 'basic descriptive statistics', 'data management', 'performance management', 'probability & statistics', 'entrepreneurship', 'market analysis', 'management accounting', 'human resources', 'game theory', 'business design', 'data architecture', 'probability distribution', 'accounting', 'customer relationship management', 'organizational development', 'mergers & acquisitions', 'statistical analysis', 'culture', 'regression', 'correlation and dependence', 'financial analysis', 'computer graphics', 'planning', 'cash management', 'general accounting', 'data analysis', 'entrepreneurial finance', 'taxes', 'statistical tests', 'budget management', 'visual design', 'benefits', 'marketing management', 'conflict management', 'computer programming', 'sales', 'strategy and operations', 'business transformation', 'audit', 'research and design', 'data model', 'business communication', 'behavioral economics', 'cost accounting', 'financial accounting', 'accounts payable and receivable', 'interactive data visualization', 'statistical machine learning', 'business process management', 'advertising', 'regulations and compliance', 'econometrics', 'investment management', 'leadership development', 'leadership and management', 'business psychology', 'general statistics', 'statistical programming', 'account management', 'data visualization software']"
IIT Guwahati,Post Graduate Certificate in Digital Manufacturing,"{"" Product Design""}",,,,University Certificate , 6 - 12 Months,False,['product design']
University of Illinois,Graduate Certificate in Accounting Data Analytics,"{"" Leadership and Management"","" Accounting"","" Financial Accounting"","" Finance"","" Financial Analysis"","" Business Analysis"","" Strategy"","" Marketing"","" Financial Management"","" Critical Thinking"","" Decision Making"","" Data Analysis"","" General Accounting"","" Strategy and Operations"","" Market Analysis"","" Generally Accepted Accounting Principles (GAAP)"","" Taxes"","" Entrepreneurship"","" Management Accounting"","" Investment Management"","" Mergers & Acquisitions"","" Risk Management"","" Communication"","" Market Research"","" Regulations and Compliance"","" Cost Accounting"","" Problem Solving"","" Digital Marketing"","" Account Management"","" Accounts Payable and Receivable"","" Corporate Accouting"","" Marketing Management"","" Business Development"","" Business Process Management"","" Data Management"","" Exploratory Data Analysis"","" Statistical Programming"","" Media Strategy & Planning"","" Probability & Statistics"","" Data Visualization"","" Innovation"","" Audit"","" Leadership Development"","" Planning"","" Business Transformation"","" Banking"","" Performance Management"","" Business Intelligence"","" Cash Management"","" Product Strategy"","" Python Programming"","" Sales"","" Statistical Analysis"","" Social Media"","" Brand Management"","" Business Psychology"","" Customer Analysis"","" Business Communication"","" Creativity"","" Organizational Development"","" Product Management"","" Research and Design"","" Securities Trading"","" Culture"","" Data Analysis Software"","" Machine Learning"","" Business Design"","" Advertising"","" Behavioral Economics"","" Customer Relationship Management"","" Human Learning"","" People Analysis"","" Process Analysis"","" R Programming"","" Correlation And Dependence"","" General Statistics"","" Influencing"","" People Management"","" Interactive Data Visualization"","" Adaptability"","" Change Management"","" Conflict Management"","" Marketing Design"","" Operational Analysis"","" Project Management"","" Advertising Sales"","" Collaboration"","" Regression"","" Statistical Machine Learning"","" Human Resources"","" Negotiation"","" Basic Descriptive Statistics"","" Benefits"","" Big Data"","" Budget Management"","" Data Model"","" Emotional Intelligence"","" Operations Management"","" Plot (Graphics)"","" Data Visualization Software"","" Probability Distribution"","" Statistical Tests"","" Storytelling"","" Algorithms"","" Computer Programming"","" Data Mining"","" Employee Relations"","" Securities Sales"","" Business Research"","" Data Structures"","" Machine Learning Algorithms"","" Visualization (Computer Graphics)"","" Contract Management"","" Extract"","" Transform"","" Load"","" Databases"","" Entrepreneurial Finance"","" Forecasting"","" Game Theory"","" Supply Chain and Logistics"","" Visual Design"","" Accounting Software"","" Econometrics"","" Experiment"","" Natural Language Processing"","" SQL"","" Theoretical Computer Science"","" Data Architecture"","" Microsoft Excel""}",,,,Graduate Certificate , 6 - 12 Months,True,"['social media', 'python', 'sql', 'machine learning', 'natural language processing', 'big data', 'data mining', 'data visualization', 'r programming', 'statistics', 'project management', 'risk management', 'change management', 'business analysis', 'business intelligence', 'strategy', 'marketing', 'finance', 'operations management', 'supply chain', 'leadership', 'negotiation', 'communication', 'problem solving', 'critical thinking', 'adaptability', 'creativity', 'emotional intelligence', 'data structures', 'algorithms', 'product management', 'market research', 'digital marketing', 'brand management', 'decision making', 'accounting software', 'forecasting', 'excel', 'financial management', 'corporate accouting', 'business research', 'data analysis software', 'machine learning algorithms', 'media strategy & planning', 'securities trading', 'collaboration', 'theoretical computer science', 'storytelling', 'exploratory data analysis', 'influencing', 'supply chain and logistics', 'basic descriptive statistics', 'advertising sales', 'python programming', 'people analysis', 'data management', 'performance management', 'probability & statistics', 'entrepreneurship', 'market analysis', 'management accounting', 'human resources', 'game theory', 'business design', 'data architecture', 'probability distribution', 'accounting', 'customer relationship management', 'organizational development', 'process analysis', 'mergers & acquisitions', 'statistical analysis', 'culture', 'regression', 'correlation and dependence', 'financial analysis', 'computer graphics', 'planning', 'human learning', 'cash management', 'general accounting', 'data analysis', 'business development', 'entrepreneurial finance', 'taxes', 'statistical tests', 'budget management', 'contract management', 'computer science', 'visual design', 'benefits', 'marketing management', 'conflict management', 'computer programming', 'sales', 'databases', 'strategy and operations', 'employee relations', 'business transformation', 'audit', 'banking', 'research and design', 'data model', 'business communication', 'behavioral economics', 'experiment', 'cost accounting', 'innovation', 'financial accounting', 'marketing design', 'accounts payable and receivable', 'securities sales', 'interactive data visualization', 'product strategy', 'operational analysis', 'statistical machine learning', 'business process management', 'advertising', 'regulations and compliance', 'econometrics', 'investment management', 'leadership development', 'leadership and management', 'business psychology', 'general statistics', 'customer analysis', 'people management', 'statistical programming', 'account management', 'data visualization software']"
University of Colorado Boulder,Engineering Management Graduate Certificate,"{"" Leadership and Management"","" Finance"","" Project Management"","" Strategy and Operations"","" Planning"","" Financial Analysis"","" Product Management"","" Accounting"","" Agile Software Development"","" Investment Management"","" People Management"","" Strategy"","" Cost Accounting"","" Scrum (Software Development)"","" Financial Accounting"","" Performance Management"","" Risk Management"","" Business Process Management"","" Decision Making"","" Business Communication"","" Financial Management"","" Organizational Development"","" Product Development"","" Data Analysis"","" Estimation"","" Budget Management""}",,,,Graduate Certificate , 6 - 12 Months,True,"['project management', 'agile', 'scrum', 'risk management', 'strategy', 'finance', 'leadership', 'communication', 'product management', 'decision making', 'financial management', 'performance management', 'accounting', 'organizational development', 'financial analysis', 'planning', 'data analysis', 'budget management', 'product development', 'strategy and operations', 'agile software development', 'business communication', 'cost accounting', 'financial accounting', 'business process management', 'investment management', 'leadership and management', 'estimation', 'people management']"
 IIT Guwahati,Post Graduate Certificate in Deep Learning for Computer Vision & Extended Reality (XR),,,,,University Certificate , 6 - 12 Months,False,[]
IIT Roorkee,Post Graduate Certificate in Data Science & Machine Learning,"{"" Computer Programming"","" Data Science"","" Linear Algebra"","" Machine Learning"","" Mathematics"","" Python Programming"","" R Programming""}",,,,University Certificate , 6 - 12 Months,False,"['python', 'machine learning', 'data science', 'r programming', 'linear algebra', 'python programming', 'mathematics', 'algebra', 'computer programming']"
Indian School of Business,Certificate in Strategic Leadership,"{"" Strategy""}",,,,University Certificate , 6 - 12 Months,False,['strategy']
Dartmouth College,Digital Transformation Certificate,,,,,University Certificate , 6 - 12 Months,False,[]
